Kode Soal,jawaban,skor,pertanyaan,rubrik
8,"Regresion : MAE, MSE, RMSE, R² Score
clasification : Akurasi, Prediksi dan Recal
clustering : Mavies, Bouldin index, Elbow metod.",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"cara kerjanya yaitu :
- tentukan jumlah cluster
- pilih centroid awal
- kelompokan data
- hitung ulang centroid
-ulangi hingga centroid tidak berubah",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Menggunakan Elbow metod dan Silhoute Score,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"yang dimaksud dengan machine learning adalah sebuah mesin yang dikembangkan melalui dari pengumpulan data, proses, hingga outpur yang sesuai",5,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- supervised learning
- deep learning",0,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan informasi awal untuk memenuhi kebutuhan mesin,5,Apa yang dimaksud dengan data?,
4,Dataset adalah sebuah informasi untuk menampilkan atau membuat suatu project di awal persiapan pembuatan project.,0,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses pengecekan kevalidan data sebelum membuat sebuah project,0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah pengecekan kemiripan data yang telah terkumpul, contohnya mengecek kemiripan gambar kucing dan anjing dalam sebuah dataset.",0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression adalah
- Algoritma classification adalah tahap pengklasifikasian pada data-data yang telah dikumpul
- Algoritma clustering adalah tahap pengelompokan data yang telah dikumpul.",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Regression
- clustering
- classification",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,cara kerja metode k-means clustering adalah pengelompokan yang,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,cara menentukan nilai k awal dalam metode k means clustering adalah dengan mengelompokkan,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,machine learning adalah cabang AI yang membuat komputer belajar dari data untuk membuat prediksi atau keputusan,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- supervised learning 
- unsupervised learning
- reinforcement learning",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah kumpulan fakta atau informasi yang dapat di olah menjadi informasi,10,Apa yang dimaksud dengan data?,
4,"Dataset adalah kumpulan data yang digunakan untuk melatih, menguji atau mengevaluasi model",10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses membersihkan dan menyiapkan data sebelum di gunakan,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset teknik menambahkan variasi data agar jumlah data bertambah tanpa mengumpulkan data baru.,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regression : memprediksi nilai kontinu
classification : mengelompokkan data kedalam kelas tertentu
clustering : mengelompokkan data berdasarkan kemiripan tanpa label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression : MAE, MSE, RMSE, R² Score
classification : accuracy, precision, recall
clustering : Davies- Bouldin Index, Elbow method",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"Cara kerja k means
- tentukan jumlah cluster
- pilih centroid awal 
- kelompokkan data ke centroid terdekat
- hitung ulang centroid
- ulangi hingga centroid tidak berubah",0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Menggunakan Elbow method dan Silhoute Score,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine Learning adalah metode mesin yang mempelajari tentang output dan input data,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning -
- Unsupervised Learnig -",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah faktor mentah yang dapat diubah,0,Apa yang dimaksud dengan data?,
4,dataset adalah data yang tidak dapat dapat diubah melalui sistem,0,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah mengolah data mentah menjadi data baru,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented Dataset adalah menambahkan variasi data,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma Regression Mengklasifikasikan data
- Classification →
- Clustering →",0,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi algoritma regresssion, Classification dan Clustering",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Cara kerja Metode K means Clustering,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,Machine Learning adalah cabang dari Artificial Intelegence (AI) yang memungkinkan komputer belajar dari data membuat prediksi atau keputusan tanpa diprogram secara eksplisit,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis dari Machine Learning :
1).Supervised learning yaitu menggunakan data berlabel
2).Unsupervised learning yaitu menggunakan data tanpa label
3).Reinforcement learning yaitu model belajar dari reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah kumpulan fakta, informasi, angka atau obser vasi yang dapat diolah menjadi informasi yang berguna",10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang tersusun dalam bentuk tabel atau file dan digunakan untuk proses analisis dan pelatihan,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses mempersiapkan dan membersihkan data sebelum digunakan dalam machine learning,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah proses untuk menambah/ memproses jumlah data agar saat dimasukkan ke dalam machine learning datanya menjadi seragam/sama contoh metode yang digunakan untuk melakukan augmented dataset adalah zoom dan cropping,10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"1). Regression termasuk kedalam lenis supervised learning yaitu untuk memprediksi nilai numerik
2). Classification termasuk ke dalam jenis supervised learning yaitu yang mengelompokkan data yang sudah memiliki label tersendiri
3). Clustering termasuk kedalam jenis unsupervised learning yaitu mengelompokkan data tanpa label yang artinya disini data dikelopokkan berdasarkan kemiripan antar satu dan lainnya pada data",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"1).Metode evaluasi yang sesuai dengan regresi adalah metode MAE MSI dan lainnya
2).Metode evaluasi yang sesuai dengan classification yaitu metode precission, recall, acuracy dan f-score
metode evaluasi yang sesuai dengan algoritma clustering adalah metode silhoutte score",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,yang pertama yaitu menentukan nilai awal K. kemudian menentukan centroid awal kemudian menghitung setiap lakar ke centroid,10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Nilai awal K dapat ditentukan dengan albow method,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine Learning adalah cabang dari AI yang mampu membuat komputer belajar dari data dan membuat keputusan sendiri,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised Learning → menggunakan data berlabel
Unsupervised Learning → data tanpa label
Semi supervised → gabungan dari keduanya",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah Sekumpulan fakta atau angka dan informasi mentah yang belum di olah,10,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang sudah di kumpulkan dan disusun dengan terstruktur,10,Apa yang dimaksud dengan dataset?,
5,Processing dataset adalah proses membersihkan data dan baru siap untuk digunakan,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmanted Dataset adalah dataset yg perluas dgn cara menambah variasi data baru yang dihasilkan dari data asli
contohnya : zoom, tambah noise, Rotasi, cropping",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regresion adalah untuk memprediksi nilai numerik
- Algoritma classfication adalah untuk memprediksi kelas atau kategori
- Algoritma clustering adalah Algoritma yang mengelompokkan",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Metode Evaluai Clustering :
(1.) silhoutte score → mengukur seberapa baik suatu data
(2.) Davies - Bouldin Index (DBI) → mengukur kemiripan antar cluster
(3.) calllnski Harabasz Indek (CHI) → mengukur pemisahan, antar cluster
- Metode evaluasi Regression
(1.) Simple Linear regresion → memprediksi satu variabel dgn satu fitur
(2.) Multiple linear regresion
(3.) Polynomial regression
-Metodevaluasi classification
(1.) Logistic regression
(2.) knn
(3.) svm
(4.) Naivi Bayes",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Cara kerja Metode k Means clustering yaitu dengan menentukan nilai k,5,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,Machine Leaarning adalah metode agar komputer belajar dari data untuk membuat prediksi tanpa diprogram detail.,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis machine learning
- supervised
- unsupervised
- Reinforcement learning",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah fakta mentah berupa angka, teks, gambar dan lainnya yang bisa diolah menjadi informasi",10,Apa yang dimaksud dengan data?,
4,dataset adalah tumpukan data yang sudah terstruktur dan siap digunakan untuk analisis atau training model,10,Apa yang dimaksud dengan dataset?,
5,"processing dataset adalah proses menyiapkan, membersihkan data sebelum di gunakan agar hasilnya lebih akurat",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented Dataset adalah data yang diperbanyak dengan variasi baru dari daata asli supaya model lebih baik dan tidak tercampur contoh metodenya seperti flip, rotation, zoom, crop, brightness dan noise",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression adalah algoritma yang menghasilkan outpu berupa angka, contoh prediksi harga rumah
- Algoritma classification adalah algoritma yang menghasilkan output berupa kategori, contoh email spam or no
- Algoritma clustering adalah algoritma yang mengelompokkan data ,contoh jenis kelamin",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- metode evaluasi reggresion yaitu random forest
- metode evaluasi classiffication yaitu svm
- metode evaluasi clustering yaitu k-means",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,cabang AI iya membuat komputer belajar dari data untuk prediksi keputusan,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"supervised learning, unsuperside learning, rainforcemen learning",5,Jelaskan jenis-jenis dari machine learning?,
3,faktor atau informasi yg diolah,10,Apa yang dimaksud dengan data?,
4,kumpulan data untuk melatih dan menguji model,10,Apa yang dimaksud dengan dataset?,
5,proses menghasilkan dan menyiapkan data,0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"perubahan variasi data, contoh klip, rotasi, zoom",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- regression, prediksi nilai
- classification, menentukan kelas
- clustering, mengelompokkan data",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"evaluasi :
- regression, MAE, MSE
- classification, accurasy
- clustering, shiloutte schore.",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Tentukan → pilih centeroid → kelompok data → hitung centeroid baru → ulang hingga stabil.,10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,mencari jumlah cluster terbaik,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Kecerdasan buatan yang adadikomputer mampu belajar dari data,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised model belajar dengan label
unsuperfast model tidak belajar dari label",10,Jelaskan jenis-jenis dari machine learning?,
3,"data adalah sekumpulan fakta l anghai, teks yambar, suara atau i n formasikan yang belum diolah sehingga belum memiliki maknayang ielas",10,Apa yang dimaksud dengan data?,
4,"Dataset kumpulan data yang disusun secara terstruktur yang digunakan untuk proses analisis, pelatihan pengujian atau evaluasim",10,Apa yang dimaksud dengan dataset?,
5,Preprocessing mengolah dan membersihkan data sebelum digunakan untuk melatih model machine learning agar kalitas data meniadi lebih baik,10,Apa yang dimaksud dengan Preprocessing Dataset?,
1,"Machine learning adalah cabang dan kecerdasan buatan yang memungkinkan komputer belajar dan dari data untuk mengenali pola, membuat prediksi, atau mengambil keputusan tanpa di program secara eksplisit",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Machine learning: belajar menggunakan data yang memiliki label
Unsupervised learning: Belajar menggunakan data tanpa label untuk menemukan pola atau kelompok
Reinforcement learning:",10,Jelaskan jenis-jenis dari machine learning?,
3,"data adalah sekumpulan fakta , angka, teks gambar, atau informasi mentah yang dapat diolah menjadi informasi berguna",10,Apa yang dimaksud dengan data?,
4,"datase adalah kumpulan data yang tersusun dalam bentuk tabel atau file yang digunakan sebagai bahan pelatihan, validasi, dan pengujian pada model machine learning",10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing adalah proses mempersiapkan data agar dapat digunakan oleh machine learning, seperti membersihkan data, mengatasi missing value, normalisasi, dan lain-lain.",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented data adalah teknik menambah variasi data dengan memodifikasi data asli tanpa mengubah maknanya,10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,Regression adalah digunakan untuk memprediksi nilai numerik atau kontinu assirfcation digunakan untuk mengelompokkan data ke dalam kelas tertentu clustering digunakan untuk mengelompokkan data berdasarkan kemiripan tanpa label,10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression :MAE, RMSE, dan R²
Classification: acuracy, Recall, F1-score
Clustering:",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Machine learning adalah anak dari kecerdasan buatan yang mana program data memprediksi dari data tanpa perlu membuat program khusus,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised learning
Program belajar menggunakan label data
Unsupervised learning
Program belajar tanpa label data
semi-supervise
Program belajar dengan data yang memiliki sedkit label dan kebanyakan tanpa label
Reiforcement
Program yang belajar dari reward (hadiah) atau punishment (hukuman)",10,Jelaskan jenis-jenis dari machine learning?,
3,Informasi yang akurat dan berdasarkan fakta,10,Apa yang dimaksud dengan data?,
4,sekumpulan data yang digunakan untuk menjalankan program ML,5,Apa yang dimaksud dengan dataset?,
5,Proses untuk mengembangkan data supaya program memiliki data yang akurat,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,memodifikasi dataset untuk mendapatkan data yang baru. Salah satu metodenya ada brightness crop zoom.,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma yang mempelajari data angka konfident (Regression)
Classification, melatih data agar hasil lebih valid
Clustering, mengelompokkan data sesuai dengan kelas",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"beberapa metodenya
Regrestion
S-1 score
Classification
- f1 score",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Machine Learning adalah cabang yang membuat komputer dapat belajar dari data untuk mengenali pola tanpa diprogram secara eksplisit,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"a. supervised learning: belajar dari data berlabel
b. unsupervised learning: belajar dari data tanpa label
c. semi-supervised learning: gabungan data berlabel dan tidak berlabel
d. reinforcement learning: belajar dari reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah kumpulan fakta atau informasi mentah yang dapat diolah menjadi informasi,10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data ynag terstruktur untuk melatih dan menguji model machine learning,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses membersihkan dan menyiapkan data agar siap digunakan oleh model,10,Apa yang dimaksud dengan Preprocessing Dataset?,
7,"a. Regression: memprediksi nilai kontinu (misalnya harga rumah)
b. Classification: mengelompokkan data ke kelas tertentu
c. clustering: mengelompokkan data berdasarkan kemiripan data label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Regression: MAE, MSE, RMSE, R²
- Classification: Accuracy, Precision, F1-score, recall
- clustering: silhouette score, Davies - Bouldin Index",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"a. Tentukan nilai k
b. Pilih centroid awal
c. Hitung jarak data ke setaip centroid
d. kelompokkan data ke centroid terdekat
e. Hitung centroid baru
f. Ulangi hingga centroid tidak berubah",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,"Nilai k dapat ditentukan menggunakan:
a. elbow method
b. silhouette score
c. berdasarkan pengetahuan terhadap jumlah kelompok yang diinginkan",10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"Machine learning adalah salah satu cabang dari kecerdasan buatan (artificial Inteligence) yang membuat komputer mampu belajar dari data, menemukan pola, dan membuat keputusan atau predeksi tanpa harus diprogram secara langsung",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis² Machine learning:
- Supervised learning adalah teknik pembelajaran menggunakan data yang berlabel/hasil. Model belajar dari contoh data untuk melakukan klasifikasi dan prediksi
- Unsupervised learning adalah teknik pembelajaran menggunakan data tanpa label, Model mencari kelompok/pola dari data secara mandiri
- Reinforcement learning adalah sistem belajar berdasarkan sistem penghargaan (reward) dan hukuman (punishment) berdasarkan tindakan yang dilakukan",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan informasi atau fakta yang masih dalam berupa bentuk mentah dan belum diolah sama sekali dan dapat digunakan sebagai bahan analisis atau pengambil keputusan,5,Apa yang dimaksud dengan data?,
4,"Dataset adalah sekumpulan data yang disusun secara terstruktur dan digunakan sebagai bahan untuk melatih, menguji, dan mngevaluasi model machine learning, Dataset biasanya terdiri dari baris (data) dan kolom (fitur)",10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah proses persiapan dan pembersihan dataset sebelum digunakan dalam model machine learning agar supaya menjadi lebih baik, rapi, dan mudah diproses oleh algoritma",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"- Augmented dataset adalah proses memperbanyak atau memperkayah jumlah data/fitur dengan cara menambah varasi baru pada data itu sendiri tanpa mengubah informasi utama. Tujuan nya agar pada machine learning memiliki banyak contoh untuk belajar dan peformanya meningkat
Contoh metode Augmented dataset :
- Image Augmentation (Untuk gambar) Contoh nya : Rotasi gambar, membalik gambar (Flip), mengubah bentuk gambar (Resize), zoom gambar.
- Text augmentation (untuk tekt) Contoh nya : mengganti kata kata dengan sinonim, menghapus kata tertentu, ,menggubah susunan kalimat.
- Audio Augmentation (Untuk suara) Contoh nya : menambahkan noise, mengubah kecepatan suara, dan mengubah tinggi rendah nya suara (pitch)",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression : adalah teknik mengumpulkan data numerik 
- Algoritma classification : adalah teknik membedakan sesuai kategori
- Algoritma Clustering : adalah teknik mengelompokan data berdasarkan cluster",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Metode evaluasi algoritma Regression : 
- Metode evaluasi algoritma Clasification :
- Metode evaluasi algoritma Clustering :",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Metode K-Means Clustering cara kerja nya itu dengan cara Peserta menentukan nilai K Setelah itu di bandingkan jarak nilai k dengan tetangga dan hasil nya di hitung dari jarak tetangga terdekat,5,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Menentukan nilai k awal dalam metode K means clustering,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"Machine learning adalah cabang dari kecerdasan buatan yang memungkinkan komputer belajar dari data untuk mengenali pola, prediksi atau mengambil keputusan tanpa di program secara eksplisit",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning: belajar menggunakan data yang memiliki label
- Unpervised learning: belajar menggunakan data tanpa label untuk mengenai pola atau kelompok",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan informasi yang dapat digunakan untuk diolah, data berupa fakta, angka, teks, gambar dan dapat diolah menjadi informasi berguna",5,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang tersusun dalam bentuk tabel atau file yang kemudian dapat diambil informasinya menjadi suatu penelitian.,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah proses mempersiapkan data agar dapat digunakan oleh machine leaconing, seperti membersihkan data, mengatasi missing value. dan regresi",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented datase adalah teknik menambahkan variasi data dengan memodifikasi data asli tanpa mengubah maknya: contoh rotasi,10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regression adalah digunakan untuk memperbaiki nilai numberik atau kontinu.
Classification digunakan untuk mengelompokkan data berdasarkan kemiripan tanpa label",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,Machine Learning → alat bantu di dalam komputer untuk memproses data membagi dan mengolah data.,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Machine Learning → 2
- Supervise Learning → Datanya memiliki label
- Unsupervised Learning → Datanya tidak memiliki label",10,Jelaskan jenis-jenis dari machine learning?,
3,Sekumpulan fakta,0,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data y digunakan dalam machine learning,10,Apa yang dimaksud dengan dataset?,
6,"Contoh metode y digunakan dalam augmented dataset:
- Decision tree.",0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Classification : Pengelompokkan data y tidak miliki label kemudian dilatih secara manual
- Clustering : Pengelompokkan data y memiliki label untuk mencari data predik
- Regression :",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,Machine learning adalah suatu data yang dilatih untuk menentukan,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
3,Data adalah suatu informasi nyata yang ditentukan,10,Apa yang dimaksud dengan data?,
4,Dataset adalah data yang telah dikumpulkan yang akan dilatih dan dirapikan,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah suatu data yang akan diubah baik berupa skala, rotasi,",0,Apa yang dimaksud dengan Preprocessing Dataset?,
7,"- Classification adalah metode yang dilatih menggunakan label
- Clustering adalah metode",0,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
10,Cara memutuskan nilai K awal adalah menggunakan elbow method jadi data akan melihat secara,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"machine learning adalah sebuah program yang belajar dan data train yang bisa memprediksi, belajar pola dari data train yang kemudian model tersebut bisa digunakan untuk memprediksi harga, keputusan dan pola data",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- SVM
- Random Forest
- CNN
- Linear regression
- CNN SLTM",0,Jelaskan jenis-jenis dari machine learning?,
3,data adalah sekumpulan nilai yang disimpan dalam sebuah file,0,Apa yang dimaksud dengan data?,
4,dataset adalah sekumpulan data yang digunakan untuk train model machine learning,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah tahapan dimana dataset akan dibersihkan / filter data anomali seperti data kolom kosong, data tidak masuk akal, typo nama, untuk data text dan untuk data gambar akan dibuat flep gambar, memerengkan, mengubah gambar menjadi hitam putih setelah seelsai data akan siap digunakan untuk training model",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented data adalah memvalidasi data agar tidak ada yang anomali contoh linear regression,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression = algoritma yang digunakan untuk memprediksi harga masa depan dengan menggunakan data awal sebagai datasetnya
- classification = algoritma untuk menggabungkan data perlabel kelas
- clustering = algoritma untuk memisahkan data mendatan yang kemudian dikelompokkan berdasarkan cluster yang ada",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- evaluasi regression = evaluasi data yang digunakan untuk meningkatkan akurasi prediksi data kedepan agar meminim kesalahan prediksi
- evaluasi classification = evaluasi data yang digunakan untuk memfilter data mentah kemudian digabungkan perkelas
- memproses kembali data yang sudah diclustering agar tidak ada data yang salah masuk klaster",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,kmeans bekerja dengan cara mencari nilai awal,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,machine learning merupakan sebuah model yang dimana model ini sudah dilatih dari data data yang sudah ada dari di belajar dari pola data tersebut,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"jenis jenis machine learning
- deep learning = metode yang dipakai untuk melakukan proses yang berat atau besar dan mendalam seperti CNN, Rgnet, VGG16
- SVM
- KNN
- naive bayes",0,Jelaskan jenis-jenis dari machine learning?,
3,data adalah sebuah fakta atau bukti nyata yang siap untuk dipakai,10,Apa yang dimaksud dengan data?,
4,dataset merupakan sekumpulan dari berbagai data yang siap untuk dipakai dalam pelatihan model machine learning,10,Apa yang dimaksud dengan dataset?,
5,"preprocessing dataset adalah metode yang dilakukan sebelum melatih model guna untuk memperkecil terjadinya anomali data, dan dilakukannya pembagian",5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"- Augmented dataset merupakan metode yang dilakukan untuk menambah variasi dari dataset supaya tidak terjadinya overfitting, dan juga memperseimbang data
contoh = metode smote, smote berfungsi menambah / duplikasi dari data yang minoritas kemudian dipakai metode ini sehingga menyamai dataset mayoritas",5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- regression = metode yang dipakai untuk memprediksi dengan data baru yang dilatih dari pola history data yang sudah ada 
- classification = sebuah machine learning yang unsupervised belum terlabel, dan menggabungkan semua kelas
- clustering = memisahkan dari data awal ke data yang baru",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"F1 Score, Akurasi,",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,machine learning adlaah suatu algoritma yang dilatih untuk melakukan suatu percobaan agar data menjadi lebih baik,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"unsupervised learning → latih tanpa label
supervised learning → latih dengan label
reinforcement → latih dari errornya data",10,Jelaskan jenis-jenis dari machine learning?,
3,"data adalah suatu informasi nyata yang dikumpulkan baik teks, angka, dan suara dll",5,Apa yang dimaksud dengan data?,
4,dataset adalah data yang dikumpulkan yang akan dilatih dan ditesting dari beberapa metode,10,Apa yang dimaksud dengan dataset?,
5,"preprocessing adalah suatu data yang akan dirubah baik berupa skala, rotasi, dan contrast",0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"- augemented dataset adalah suatu data mentah yang akan ditambah melalui kemiripan data untuk keseimbangan dataset
- metode yang digunakan pada augmented adalah smote",5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
